industry,code,until
金融服务,801190.SI,2014-2-20
钢铁,801040.SI,
化工,801030.SI,
轻工制造,801140.SI,
医药生物,801150.SI,
商业贸易,801200.SI,
食品饮料,801120.SI,
房地产,801180.SI,
纺织服装,801130.SI,
机械设备,801890.SI,
交运设备,801170.SI,
有色金属,801050.SI,
农林牧渔,801010.SI,
休闲服务,801210.SI,
电子,801080.SI,
建筑建材,801710.SI,
交通运输,801170.SI,
公用事业,801160.SI,
综合,801230.SI,
家用电器,801110.SI,
信息服务,801220.SI,2014-2-20
信息设备,801100.SI,2014-2-20
采掘,801020.SI,
银行,801780.SI,
国防军工,801740.SI,
汽车,801880.SI,
电气设备,801730.SI,
建筑装饰,801720.SI,
计算机,801750.SI,
建筑材料,801710.SI,
通信,801770.SI,
传媒,801760.SI,
非银金融,801790.SI,
