date,stockcode,operatetype,referencenum,referenceprice
2002-01-28,sh600057,buy,5019,4.9339487537692932
2002-02-27,sh600741,buy,16390,1.6676749561328243
2002-02-28,sh600006,buy,8541,3.4930251835473047
2002-03-01,sz000627,buy,9771,4.8991993716810951
2002-03-06,sh600228,buy,3124,9.996150865058862
2002-03-11,sz000629,buy,18517,1.5423174616770443
2002-03-12,sh600664,buy,7641,2.7602716528203
2002-03-12,sz000518,buy,9148,3.0087963582511952
2002-03-13,sh600675,buy,10672,2.376875193065489
2002-03-14,sh600038,buy,2478,8.5241083080568387
2002-03-18,sz000607,buy,4126,5.8555903522655797
2002-03-20,sh600132,buy,3464,5.5967206923496233
2002-03-20,sh600895,buy,5889,4.1325648781723165
2002-03-21,sh600339,buy,3182,6.9348160328910824
2002-03-29,sz000726,buy,7383,2.8132982113507303
2002-04-04,sz000539,buy,6095,4.9585356072945146
2002-04-05,sh600748,buy,2907,5.9174590561961269
2002-04-09,sh600072,buy,3603,5.1739028362153165
2002-04-09,sh600815,buy,5557,4.7305611152342451
2002-04-10,sh600149,buy,2973,7.0937760490261006
2002-04-12,sh600200,buy,7558,5.0282299006174727
2002-04-22,sz000550,buy,4475,4.4114600992415003
2002-04-30,sz000012,buy,6028,3.3514515273696071
2002-04-30,sz000016,buy,11182,1.8886276586349815
2002-05-08,sh600377,buy,6002,4.9390676058263692
2002-05-09,sh600256,buy,14909,1.5285212626977021
2002-05-10,sz000540,buy,19819,2.0832217863727811
2002-05-20,sh600377,sell,-6002,4.4481980303157389
2002-05-22,sz000755,buy,3042,5.6202070717901682
2002-05-27,sh600228,sell,-3124,10.351015361940043
2002-05-28,sh600810,buy,4149,5.6298412708607009
2002-05-31,sh600675,sell,-10672,1.8511987937499594
2002-06-05,sh600072,sell,-3603,3.8057314306576635
2002-06-05,sz000963,buy,2764,8.9936609633401829
2002-06-06,sz000627,sell,-9771,4.5085739543522019
2002-06-06,sz000629,sell,-18517,1.2886732561495595
2002-06-10,sh600649,buy,7249,4.2632719938795596
2002-06-10,sz000850,buy,12844,3.0523422271577778
2002-06-18,sh600764,buy,4331,6.4274499290885165
2002-06-19,sz000927,buy,5089,4.2789551907909669
2002-06-20,sh600228,buy,2888,12.14801208186714
2002-06-24,sh600712,buy,8552,2.6203957358803796
2002-06-24,sz000062,buy,2344,9.1127910614013672
2002-06-25,sh600018,buy,7479,3.5563285595255256
2002-06-25,sh600033,buy,17276,1.5507587357012234
2002-06-25,sh600062,buy,3741,7.8426425657674343
2002-06-25,sh600119,buy,3565,8.2241108339813316
2002-06-25,sh600178,buy,3375,6.4167948784450148
2002-06-25,sh600210,buy,7245,3.3643102676024803
2002-06-25,sh600221,buy,6837,2.9251768485906906
2002-06-25,sh600235,buy,2639,9.5348864778090689
2002-06-25,sh600252,buy,47181,0.46055412517280314
2002-06-25,sh600275,buy,3145,6.2971264365002053
2002-06-25,sh600290,buy,5793,5.2310335889823376
2002-06-25,sh600398,buy,4954,4.5757529534954324
2002-06-25,sh600628,buy,5037,4.0330265467569228
2002-06-25,sh600639,buy,2966,6.6817467275679014
2002-06-25,sh600655,buy,6954,2.848418802364419
2002-06-25,sh600681,buy,2457,7.8335142789591146
2002-06-25,sh600707,buy,3711,5.2216069628861179
2002-06-25,sh600745,buy,2267,13.226072236252209
2002-06-25,sh600827,buy,3114,6.6260584361019959
2002-06-25,sh600866,buy,4422,4.377118628766155
2002-06-25,sh600877,buy,6359,3.4993468019552361
2002-06-25,sh600888,buy,8073,2.8090001349797897
2002-06-25,sz000021,buy,3809,5.4470374404558299
2002-06-25,sz000031,buy,8912,2.5212561204420023
2002-06-25,sz000036,buy,6706,2.9606816996384708
2002-06-25,sz000058,buy,2230,8.6093364492162454
2002-06-25,sz000061,buy,11129,2.6558463259911846
2002-06-25,sz000088,buy,11749,2.6127503735999609
2002-06-25,sz000416,buy,4253,6.0492524781686097
2002-06-25,sz000423,buy,5310,5.0154889792417698
2002-06-25,sz000531,buy,8600,2.2974451847419433
