date,price,stock,type
1999-04-06,5.47807216644,sz000885,high
1999-05-14,4.2022690773,sz000885,low
1999-07-12,7.63234519958,sz000885,high
1999-09-06,5.71866798401,sz000885,low
1999-09-30,6.75943088531,sz000885,high
1999-10-21,6.03200101852,sz000885,low
1999-12-15,7.02239179611,sz000885,high
1999-12-24,6.19425392151,sz000885,low
2000-04-06,10.7266492844,sz000885,high
2000-05-15,7.94566822052,sz000885,low
2000-06-09,9.6355342865,sz000885,high
2000-08-03,8.71784687042,sz000885,low
2000-10-18,13.4516582489,sz000885,high
2001-02-13,11.0512046814,sz000885,low
2001-03-26,12.226269722,sz000885,high
2001-06-20,10.3237552643,sz000885,low
2001-07-04,11.1798639297,sz000885,high
2002-01-30,5.51159381866,sz000885,low
2002-03-21,7.32454490662,sz000885,high
2002-04-04,6.13829803467,sz000885,low
2002-04-12,7.22383213043,sz000885,high
2002-11-27,2.62990403175,sz000885,low
2002-12-04,3.24541091919,sz000885,high
2003-01-02,2.68585300446,sz000885,low
2003-02-13,4.12950706482,sz000885,high
2003-03-18,3.15587997437,sz000885,low
2004-02-20,4.42607116699,sz000885,high
2004-03-08,3.83294010162,sz000885,low
2004-04-14,4.77859687805,sz000885,high
2004-08-19,1.41567194462,sz000885,low
2004-09-20,1.85212600231,sz000885,high
2004-11-05,1.16946899891,sz000885,low
2004-11-30,1.56115496159,sz000885,high
2004-12-20,1.23101603985,sz000885,low
2005-02-24,1.57234096527,sz000885,high
2005-03-31,1.31494796276,sz000885,low
2005-04-06,1.5107909441,sz000885,high
2005-07-20,0.766586005688,sz000885,low
2005-09-26,1.63388895988,sz000885,high
2005-10-28,1.12469696999,sz000885,low
2005-11-28,1.326135993,sz000885,high
2005-12-05,1.13588798046,sz000885,low
2006-02-28,1.47721397877,sz000885,high
2006-04-25,1.18624794483,sz000885,low
2006-06-06,1.94723701477,sz000885,high
2006-06-13,1.56674003601,sz000885,low
2006-07-27,2.00878405571,sz000885,high
2006-09-01,1.69543504715,sz000885,low
2007-08-07,8.54852581024,sz000885,high
2007-08-14,6.69780683517,sz000885,low
2007-08-30,8.84228038788,sz000885,high
2007-12-03,6.91520404816,sz000885,low
2008-01-14,9.80585193634,sz000885,high
2008-04-17,5.69902181625,sz000885,low
2008-05-06,7.91986083984,sz000885,high
2008-08-13,3.64267301559,sz000885,low
2008-08-20,4.55333709717,sz000885,high
2008-10-27,2.4382390976,sz000885,low
2008-11-19,4.56509113312,sz000885,high
2008-12-26,3.5839099884,sz000885,low
2009-02-24,5.934030056,sz000885,high
2009-02-27,4.72372198105,sz000885,low
2009-08-06,8.51914691925,sz000885,high
2009-09-28,5.98103713989,sz000885,low
2010-01-15,8.86579990387,sz000885,high
2010-01-27,7.75536680222,sz000885,low
2010-04-09,8.47803115845,sz000885,high
2010-07-05,5.75775623322,sz000885,low
2010-09-08,7.66133785248,sz000885,high
2010-10-18,6.48628282547,sz000885,low
2010-11-10,7.27945995331,sz000885,high
2010-11-17,6.35117101669,sz000885,low
2011-03-25,10.4990816116,sz000885,high
2011-06-13,7.29119920731,sz000885,low
2011-07-15,9.92331218719,sz000885,high
2011-09-30,6.93283605576,sz000885,low
2011-10-13,8.19014263153,sz000885,high
2011-12-22,5.46400499344,sz000885,low
2012-03-07,7.59085083008,sz000885,high
2012-03-29,6.16904211044,sz000885,low
2012-06-07,9.27235507965,sz000885,high
2012-07-09,6.91227388382,sz000885,low
2012-08-09,8.12671375275,sz000885,high
2012-08-27,7.02685117722,sz000885,low
2012-09-10,8.58498764038,sz000885,high
2012-11-29,6.94284009933,sz000885,low
2013-02-18,9.51679420471,sz000885,high
2013-07-29,5.45116519928,sz000885,low
2013-09-12,6.54337596893,sz000885,high
2013-10-29,5.52065896988,sz000885,low
2013-12-13,7.40722799301,sz000885,high
2014-01-13,5.56038618088,sz000885,low
2014-02-19,6.18592500687,sz000885,high
2014-03-10,5.43130779266,sz000885,low
2014-04-14,6.43415117264,sz000885,high
2014-06-25,5.27123403549,sz000885,low
2014-12-30,11.1901302338,sz000885,high
2015-01-19,9.36661529541,sz000885,low
2015-05-27,21.0654811859,sz000885,high
2015-07-08,8.933842659,sz000885,low
2015-09-11,19.3366737366,sz000885,high
2015-09-18,14.2601718903,sz000885,low
2015-11-05,18.7370872498,sz000885,high
2016-01-11,11.3721628189,sz000885,low
2016-03-08,16.9283332825,sz000885,high
