date,cash,,1000000
1999/3/19,1000000,1,
1999/3/22,1000000,1,
1999/3/23,1000000,1,
1999/3/24,1000000,1,
1999/3/25,1000000,1,
1999/3/26,1000000,1,
1999/3/29,1000000,1,
1999/3/30,1000000,1,
1999/3/31,1000000,1,
1999/4/1,1000000,1,
1999/4/2,1000000,1,
1999/4/5,1000000,1,
1999/4/6,1000000,1,
1999/4/7,1000000,1,
1999/4/8,1000000,1,
1999/4/9,1000000,1,
1999/4/12,1000000,1,
1999/4/13,1000000,1,
1999/4/14,1000000,1,
1999/4/15,1000000,1,
1999/4/16,1000000,1,
1999/4/19,1000000,1,
1999/4/20,1000000,1,
1999/4/21,1000000,1,
1999/4/22,1000000,1,
1999/4/23,1000000,1,
1999/4/26,1000000,1,
1999/4/27,1000000,1,
1999/4/28,1000000,1,
1999/4/29,1000000,1,
1999/4/30,1000000,1,
1999/5/4,1000000,1,
1999/5/5,1000000,1,
1999/5/7,1000000,1,
1999/5/10,1000000,1,
1999/5/11,1000000,1,
1999/5/12,1000000,1,
1999/5/13,1000000,1,
1999/5/14,1000000,1,
1999/5/17,1000000,1,
1999/5/18,1000000,1,
1999/5/19,1000000,1,
1999/5/20,1016185.176,1.016185176,
1999/5/21,1008715.15,1.00871515,
1999/5/24,1038595.784,1.038595784,
1999/5/25,1018675.149,1.018675149,
1999/5/26,1044820.028,1.044820028,
1999/5/27,1087149.998,1.087149998,
1999/5/28,1047310.001,1.047310001,
1999/5/31,1028634.724,1.028634724,
1999/6/1,1054780.239,1.054780239,
1999/6/2,1051045.12,1.05104512,
1999/6/3,1021164.698,1.021164698,
1999/6/4,1038594.723,1.038594723,
1999/6/7,1079679.76,1.07967976,
1999/6/8,1115785.487,1.115785487,
1999/6/9,1105824.851,1.105824851,
1999/6/10,1115785.063,1.115785063,
1999/6/11,1123254.664,1.123254664,
1999/6/14,1173055.192,1.173055192,
1999/6/15,1105824.427,1.105824427,
1999/6/16,1165584.741,1.165584741,
1999/6/17,1282615.29,1.28261529,
1999/6/18,1278879.747,1.278879747,
1999/6/21,1324944.836,1.324944836,
1999/6/22,1302535.077,1.302535077,
1999/6/23,1357315.444,1.357315444,
1999/6/24,1375989.873,1.375989873,
1999/6/25,1278879.535,1.278879535,
1999/6/28,1394665.468,1.394665468,
1999/6/29,1397155.866,1.397155866,
1999/6/30,1536597.342,1.536597342,
1999/7/1,1425791.673,1.425791673,
1999/7/2,1479327.583,1.479327583,
1999/7/5,1479327.583,1.479327583,
1999/7/6,1479327.583,1.479327583,
1999/7/7,1479327.583,1.479327583,
1999/7/8,1479327.583,1.479327583,
1999/7/9,1479327.583,1.479327583,
1999/7/12,1479327.583,1.479327583,
1999/7/13,1479327.583,1.479327583,
1999/7/14,1479327.583,1.479327583,
1999/7/15,1479327.583,1.479327583,
1999/7/16,1479327.583,1.479327583,
1999/7/19,1479327.583,1.479327583,
1999/7/20,1479327.583,1.479327583,
1999/7/21,1479327.583,1.479327583,
1999/7/22,1479327.583,1.479327583,
1999/7/26,1479327.583,1.479327583,
1999/7/27,1479327.583,1.479327583,
1999/7/28,1479327.583,1.479327583,
1999/7/29,1479327.583,1.479327583,
1999/7/30,1479327.583,1.479327583,
1999/8/2,1479327.583,1.479327583,
1999/8/3,1479327.583,1.479327583,
1999/8/4,1473527.759,1.473527759,
1999/8/5,1332012.518,1.332012518,
1999/8/6,1361011.458,1.361011458,
1999/8/9,1304173.76,1.30417376,
1999/8/10,1304173.092,1.304173092,
1999/8/11,1304173.092,1.304173092,
1999/8/12,1304173.092,1.304173092,
1999/8/13,1304173.092,1.304173092,
1999/8/16,1304173.092,1.304173092,
1999/8/17,1304173.092,1.304173092,
1999/8/18,1304173.092,1.304173092,
1999/8/19,1304173.092,1.304173092,
1999/8/20,1304173.092,1.304173092,
1999/8/23,1304173.092,1.304173092,
1999/8/24,1336092.435,1.336092435,
1999/8/25,1359417.766,1.359417766,
1999/8/26,1345913.247,1.345913247,
1999/8/27,1329954.074,1.329954074,
1999/8/30,1336092.187,1.336092187,
1999/8/31,1336092.187,1.336092187,
1999/9/1,1336092.187,1.336092187,
1999/9/2,1336092.187,1.336092187,
1999/9/3,1336092.187,1.336092187,
1999/9/6,1336092.187,1.336092187,
1999/9/7,1336092.187,1.336092187,
1999/9/8,1336092.187,1.336092187,
1999/9/9,1336092.187,1.336092187,
1999/9/10,1337279.592,1.337279592,
1999/9/13,1365776.179,1.365776179,
1999/9/14,1410895.817,1.410895817,
1999/9/15,1374087.603,1.374087603,
1999/9/16,1378836.815,1.378836815,
1999/9/17,1380023.714,1.380023714,
1999/9/20,1350338.812,1.350338812,
1999/9/21,1342027.2,1.3420272,
1999/9/22,1342027.2,1.3420272,
1999/9/23,1342027.2,1.3420272,
1999/9/24,1342027.2,1.3420272,
1999/9/27,1342027.2,1.3420272,
1999/9/28,1342027.2,1.3420272,
1999/9/29,1342027.2,1.3420272,
1999/9/30,1342027.2,1.3420272,
1999/10/8,1342027.2,1.3420272,
1999/10/11,1342027.2,1.3420272,
1999/10/12,1342027.2,1.3420272,
1999/10/13,1342027.2,1.3420272,
1999/10/14,1342027.2,1.3420272,
1999/10/15,1342027.2,1.3420272,
1999/10/18,1342027.2,1.3420272,
1999/10/19,1342027.2,1.3420272,
1999/10/20,1342027.2,1.3420272,
1999/10/21,1342027.2,1.3420272,
1999/10/22,1342027.2,1.3420272,
1999/10/25,1342027.2,1.3420272,
1999/10/26,1342027.2,1.3420272,
1999/10/27,1357586.755,1.357586755,
1999/10/28,1336042.661,1.336042661,
1999/10/29,1336042.661,1.336042661,
1999/11/1,1316892.501,1.316892501,
1999/11/2,1313302.159,1.313302159,
1999/11/3,1301332.991,1.301332991,
1999/11/4,1313302.159,1.313302159,
1999/11/5,1303726.722,1.303726722,
1999/11/8,1318089.01,1.31808901,
1999/11/9,1318089.01,1.31808901,
1999/11/10,1318089.5,1.3180895,
1999/11/11,1318089.5,1.3180895,
1999/11/12,1318089.5,1.3180895,
1999/11/15,1334926.558,1.334926558,
1999/11/16,1330436.189,1.330436189,
1999/11/17,1322708.116,1.322708116,
1999/11/18,1313875.794,1.313875794,
1999/11/19,1320499.776,1.320499776,
1999/11/22,1321603.617,1.321603617,
1999/11/23,1332643.431,1.332643431,
1999/11/24,1303939.35,1.30393935,
1999/11/25,1324915.326,1.324915326,
1999/11/26,1324915.326,1.324915326,
1999/11/29,1377907.375,1.377907375,
1999/11/30,1367970.742,1.367970742,
1999/12/1,1362450.13,1.36245013,
1999/12/2,1324913.538,1.324913538,
1999/12/3,1321601.735,1.321601735,
1999/12/6,1319393.49,1.31939349,
1999/12/7,1324913.35,1.32491335,
1999/12/8,1311665.291,1.311665291,
1999/12/9,1302833.601,1.302833601,
1999/12/10,1316195.713,1.316195713,
1999/12/13,1325103.568,1.325103568,
1999/12/14,1364076.748,1.364076748,
1999/12/15,1397482.412,1.397482412,
1999/12/16,1378552.403,1.378552403,
1999/12/17,1356282.245,1.356282245,
1999/12/21,1326218.153,1.326218153,
1999/12/22,1318423.165,1.318423165,
1999/12/23,1318423.165,1.318423165,
1999/12/24,1318423.165,1.318423165,
1999/12/27,1318423.165,1.318423165,
1999/12/28,1318423.165,1.318423165,
1999/12/29,1318423.165,1.318423165,
1999/12/30,1318423.165,1.318423165,
2000/1/4,1344784.799,1.344784799,
2000/1/5,1351375.208,1.351375208,
2000/1/6,1375539.887,1.375539887,
2000/1/7,1395311.022,1.395311022,
2000/1/10,1397508.262,1.397508262,
2000/1/11,1329407.488,1.329407488,
2000/1/12,1345883.887,1.345883887,
2000/1/13,1372245.805,1.372245805,
2000/1/14,1349179.934,1.349179934,
2000/1/17,1422772.59,1.42277259,
2000/1/18,1472200.754,1.472200754,
2000/1/19,1449133.76,1.44913376,
