date,price,stock,type
1999-04-06,5.47807216644,sz000885,high
1999-05-14,4.2022690773,sz000885,low
1999-07-12,7.63234519958,sz000885,high
1999-09-06,5.71866798401,sz000885,low
1999-09-30,6.75943088531,sz000885,high
1999-10-21,6.03200101852,sz000885,low
1999-11-29,6.98323106766,sz000885,high
1999-12-24,6.19425392151,sz000885,low
2000-02-16,8.15828609467,sz000885,high
2000-02-23,7.10632181168,sz000885,low
2000-04-06,10.7266492844,sz000885,high
2000-05-15,7.94566822052,sz000885,low
2000-06-09,9.6355342865,sz000885,high
2000-08-03,8.71784687042,sz000885,low
2000-10-18,13.4516582489,sz000885,high
2000-11-28,11.6890621185,sz000885,low
2000-12-19,12.757818222,sz000885,high
2001-02-13,11.0512046814,sz000885,low
2001-03-26,12.226269722,sz000885,high
2001-05-15,10.4804449081,sz000885,low
2001-05-23,11.4428720474,sz000885,high
2001-06-20,10.3237552643,sz000885,low
2001-07-04,11.1798639297,sz000885,high
2001-10-19,7.90088319778,sz000885,low
2001-10-24,9.28857517242,sz000885,high
2001-11-09,7.3189458847,sz000885,low
2001-11-23,8.15827178955,sz000885,high
2001-12-20,6.39008378983,sz000885,low
2001-12-25,7.29656791687,sz000885,high
2002-01-30,5.51159381866,sz000885,low
2002-03-21,7.32454490662,sz000885,high
2002-04-04,6.13829803467,sz000885,low
2002-04-12,7.22383213043,sz000885,high
2002-04-25,6.47402715683,sz000885,low
2002-05-21,7.21823120117,sz000885,high
2002-07-04,5.58992576599,sz000885,low
2002-08-02,6.07114601135,sz000885,high
2002-11-27,2.62990403175,sz000885,low
2002-12-04,3.24541091919,sz000885,high
2002-12-11,2.83134102821,sz000885,low
2002-12-25,3.21742892265,sz000885,high
2003-01-02,2.68585300446,sz000885,low
2003-02-13,4.12950706482,sz000885,high
2003-03-18,3.15587997437,sz000885,low
2004-02-20,4.42607116699,sz000885,high
2004-03-08,3.83294010162,sz000885,low
2004-04-14,4.77859687805,sz000885,high
2004-08-19,1.41567194462,sz000885,low
2004-09-20,1.85212600231,sz000885,high
2004-11-05,1.16946899891,sz000885,low
2004-11-30,1.56115496159,sz000885,high
2004-12-20,1.23101603985,sz000885,low
2005-01-25,1.40447700024,sz000885,high
2005-01-31,1.26458895206,sz000885,low
2005-02-24,1.57234096527,sz000885,high
2005-03-31,1.31494796276,sz000885,low
2005-04-06,1.5107909441,sz000885,high
2005-05-11,1.23660802841,sz000885,low
2005-06-08,1.36530697346,sz000885,high
2005-07-20,0.766586005688,sz000885,low
2005-08-26,1.15267503262,sz000885,high
2005-08-31,1.01278805733,sz000885,low
2005-09-26,1.63388895988,sz000885,high
2005-10-28,1.12469696999,sz000885,low
2005-11-28,1.326135993,sz000885,high
2005-12-05,1.13588798046,sz000885,low
2005-12-27,1.39887702465,sz000885,high
2006-01-25,1.24779605865,sz000885,low
2006-02-28,1.47721397877,sz000885,high
2006-03-13,1.32613396645,sz000885,low
2006-03-20,1.45483100414,sz000885,high
2006-04-25,1.18624794483,sz000885,low
2006-06-06,1.94723701477,sz000885,high
2006-06-13,1.56674003601,sz000885,low
2006-07-27,2.00878405571,sz000885,high
2006-09-01,1.69543504715,sz000885,low
2006-10-17,1.98639905453,sz000885,high
2006-11-16,1.76817500591,sz000885,low
2007-01-31,3.12787699699,sz000885,high
2007-02-05,2.84250593185,sz000885,low
2007-03-22,4.7002120018,sz000885,high
2007-03-28,4.21340608597,sz000885,low
2007-08-07,8.54852581024,sz000885,high
2007-08-14,6.69780683517,sz000885,low
2007-08-30,8.84228038788,sz000885,high
2007-12-03,6.91520404816,sz000885,low
2008-01-14,9.80585193634,sz000885,high
2008-04-17,5.69902181625,sz000885,low
2008-05-06,7.91986083984,sz000885,high
2008-06-23,4.68259906769,sz000885,low
2008-07-10,5.62265014648,sz000885,high
2008-08-13,3.64267301559,sz000885,low
2008-08-20,4.55333709717,sz000885,high
2008-10-27,2.4382390976,sz000885,low
2008-11-19,4.56509113312,sz000885,high
2008-12-26,3.5839099884,sz000885,low
2009-02-16,5.71664094925,sz000885,high
2009-02-18,4.97048282623,sz000885,low
2009-02-25,5.81064891815,sz000885,high
2009-02-27,4.72372198105,sz000885,low
2009-04-15,7.36171007156,sz000885,high
2009-04-27,6.21603393555,sz000885,low
2009-06-29,7.50858783722,sz000885,high
2009-07-06,6.83880996704,sz000885,low
2009-07-22,8.36638641357,sz000885,high
2009-07-30,7.49684906006,sz000885,low
2009-08-06,8.51914691925,sz000885,high
2009-09-01,5.99866199493,sz000885,low
2009-09-17,7.0503411293,sz000885,high
2009-09-28,5.98103713989,sz000885,low
2009-10-23,6.94458389282,sz000885,high
2009-10-29,6.26892614365,sz000885,low
2010-01-15,8.86579990387,sz000885,high
2010-01-27,7.75536680222,sz000885,low
2010-03-03,8.46040153503,sz000885,high
2010-03-16,7.867000103,sz000885,low
2010-04-09,8.47803115845,sz000885,high
2010-06-18,6.22777700424,sz000885,low
2010-06-25,6.8681769371,sz000885,high
2010-07-05,5.75775623322,sz000885,low
2010-09-08,7.66133785248,sz000885,high
2010-10-18,6.48628282547,sz000885,low
2010-11-10,7.27945995331,sz000885,high
2010-11-17,6.35117101669,sz000885,low
2010-12-14,7.63197183609,sz000885,high
2010-12-30,6.62730312347,sz000885,low
2011-01-06,7.47334384918,sz000885,high
2011-01-20,6.38641214371,sz000885,low
2011-03-25,10.4990816116,sz000885,high
2011-04-28,8.266497612,sz000885,low
2011-05-11,9.38281536102,sz000885,high
2011-06-13,7.29119920731,sz000885,low
2011-07-15,9.92331218719,sz000885,high
2011-09-30,6.93283605576,sz000885,low
2011-10-13,8.19014263153,sz000885,high
2011-10-21,7.20895719528,sz000885,low
2011-11-04,8.08436870575,sz000885,high
2011-12-22,5.46400499344,sz000885,low
2012-03-07,7.59085083008,sz000885,high
2012-03-29,6.16904211044,sz000885,low
2012-04-26,7.40285110474,sz000885,high
2012-05-18,6.72895097733,sz000885,low
2012-06-07,9.27235507965,sz000885,high
2012-07-09,6.91227388382,sz000885,low
2012-07-17,7.9510269165,sz000885,high
2012-07-31,7.14142084122,sz000885,low
2012-08-07,8.14198684692,sz000885,high
2012-08-27,7.02685117722,sz000885,low
2012-09-10,8.58498764038,sz000885,high
2012-11-29,6.94284009933,sz000885,low
2013-02-18,9.51679420471,sz000885,high
2013-05-14,7.59589004517,sz000885,low
2013-05-22,8.09234905243,sz000885,high
2013-06-25,5.58024787903,sz000885,low
2013-06-28,6.2951540947,sz000885,high
2013-07-08,5.52067184448,sz000885,low
2013-07-11,6.19586420059,sz000885,high
2013-07-29,5.45116519928,sz000885,low
2013-08-13,6.44408512115,sz000885,high
2013-08-23,5.8781208992,sz000885,low
2013-09-12,6.54337596893,sz000885,high
2013-10-29,5.52065896988,sz000885,low
2013-12-13,7.40722799301,sz000885,high
2014-01-13,5.56038618088,sz000885,low
2014-02-19,6.18592500687,sz000885,high
2014-03-10,5.43130779266,sz000885,low
2014-04-14,6.43415117264,sz000885,high
2014-06-25,5.27123403549,sz000885,low
2014-10-20,8.37016582489,sz000885,high
2014-10-23,7.78227186203,sz000885,low
2014-12-30,11.1901302338,sz000885,high
2015-01-19,9.36661529541,sz000885,low
2015-04-22,14.4300918579,sz000885,high
2015-05-06,12.4014587402,sz000885,low
2015-05-28,20.3859500885,sz000885,high
2015-07-08,8.933842659,sz000885,low
2015-08-28,16.4086914062,sz000885,high
2015-09-02,12.9910469055,sz000885,low
2015-09-11,19.3366737366,sz000885,high
2015-09-18,14.2601718903,sz000885,low
2015-10-23,20.0361919403,sz000885,high
2015-12-10,14.2701654434,sz000885,low
2015-12-22,16.3387393951,sz000885,high
2016-01-11,11.3721628189,sz000885,low
2016-02-22,13.7505226135,sz000885,high
2016-02-25,11.9717493057,sz000885,low
2016-03-09,15.2494897842,sz000885,high
2016-04-25,13.2108945847,sz000885,low
2016-04-27,14.6099309921,sz000885,high
2016-05-13,13.1609296799,sz000885,low
2016-05-31,15.4799995422,sz000885,high
