Type,date,price
Buy,1999-05-20,4.49323568747
Sell,1999-07-02,6.64751695807
Buy,1999-08-04,7.13434312677
Sell,1999-08-10,6.28941070514
Buy,1999-08-24,5.94248508148
Sell,1999-08-30,6.08796865328
Buy,1999-09-10,6.2950053172
Sell,1999-09-21,6.32297427267
Buy,1999-10-27,6.2726099773
Sell,1999-11-10,6.16069927207
Buy,1999-11-15,6.56916938364
Sell,1999-11-16,6.63071818239
Buy,1999-11-17,6.74262698203
Sell,1999-12-09,6.60272537075
Buy,1999-12-10,6.54676962804
Sell,1999-12-22,6.62510914635
Buy,2000-01-04,6.71463539487
Sell,2000-03-07,8.21424711466
Buy,2000-03-27,9.46764877101
Sell,2000-04-05,9.21584960277
Buy,2000-04-07,10.6874794303
Sell,2000-04-12,9.62432772375
Buy,2000-05-23,9.0591739606
Sell,2000-06-19,9.2886028216
Buy,2000-07-12,9.02002949823
Sell,2000-08-23,9.33894534339
Buy,2000-10-10,11.2750032445
Sell,2001-01-15,11.6387225083
Buy,2001-02-27,11.1855066879
Sell,2001-04-23,11.0903598907
Buy,2001-05-15,10.4916362429
Sell,2001-05-28,10.9840335451
Buy,2001-06-04,11.1854644599
Sell,2001-06-11,10.8609117398
Buy,2001-06-27,10.6314995834
Sell,2001-07-02,10.9112799568
Buy,2001-08-15,10.1726618773
Sell,2001-08-27,9.8481189169
Buy,2001-09-04,9.99359747061
Sell,2001-09-27,9.28856722735
Buy,2001-10-24,9.01999012855
Sell,2001-11-13,7.44204619807
Buy,2001-11-14,7.44204589856
Sell,2001-12-12,7.30216045288
Buy,2002-01-31,5.51159438892
Sell,2002-03-27,7.14549503997
Buy,2002-04-30,6.64189086866
Sell,2002-05-10,6.92726154364
Buy,2002-06-11,6.29496497338
Sell,2002-07-12,5.86969841484
Buy,2002-08-21,5.88090216089
Sell,2002-09-05,5.70744203487
Buy,2002-10-22,4.99121709405
Sell,2002-11-13,3.75460478215
Buy,2002-12-03,3.0719486071
Sell,2002-12-31,2.79776238259
Buy,2003-01-09,2.8145502777
Sell,2003-02-20,3.76579499245
Buy,2004-02-03,3.75459786872
